Metric,Side,Cadence_steps_min__,Velocity_cm__sec__,step numbers,Step Time (sec.),Step Length (cm.),Gait Cycle Time (sec.),Stride Time (sec.),Stride Length (cm.),Stride Velocity (cm./sec.),Stance Time (sec.),Stance %,Swing Time (sec.),Swing %,Single Support (sec.),Single Support %,Total D. Support (sec.),Total D. Support %
Mean,L+R,70.6251053906549,133.202015188155,15,0.619375436757512,0.810784034047976,1.15848580141033,1.15848580141033,154.312643314721,135.423883947796,0.729360825233467,63.0140687378345,0.429124976176863,36.9859312621655,0.439739374880884,37.9331023818138,0.289621450352582,25.0809663560207
Mean,Left,NaN,NaN,NaN,0.571877807726864,0.725645094429197,1.15257206498952,1.15257206498952,137.97964843171,123.729009990197,0.738913784067086,64.1517774901233,0.413658280922432,35.8482225098767,0.437009958071279,37.9583467215046,0.301903825995807,26.1934307686187
Mean,Right,NaN,NaN,NaN,0.660935862159329,0.885280606214408,1.16341391509434,1.16341391509434,167.923472383897,145.169612245796,0.721400026205451,62.0659781109272,0.442013888888889,37.9340218890728,0.442013888888889,37.9120654320715,0.279386137316562,24.1539126788557
Ratio,L/R,NaN,NaN,NaN,0.865254619197837,0.819678065164179,0.990681003584229,0.990681003584229,0.821681724853028,0.852306540439765,1.0242774566474,1.03360616303296,0.935849056603774,0.945015074191303,0.988679245283018,1.00122075357556,1.08059701492537,1.08443841446642
ASI,ASI,NaN,NaN,NaN,14.4479342836434,19.819102981774,0.936262153402948,0.936262153402948,19.5773249206152,15.9469781416601,-2.39862935465444,-3.30508076183662,6.62768031189075,5.65393312764514,1.13851992409876,-0.12200089104423,-7.74748923959829,-8.10179028369494
S.D.,L+R,NaN,NaN,NaN,0.107056625648693,0.457639385532379,0.0824303458176944,0.0824303458176944,75.0478111208169,69.7441594843228,0.0531877591648452,2.86513355618355,0.0519975105831079,2.86513355618354,0.056575027551701,3.81458742410856,0.0557077965372509,4.82044209199125
S.D.,Left,NaN,NaN,NaN,0.0606879954152909,0.496884599464716,0.112727355778975,0.112727355778975,58.5086409667516,64.6255372079364,0.072848785408405,2.65420099301094,0.0570535894713521,2.65420099301093,0.0526140317250602,3.09496247129907,0.073514084928807,5.58960060589933
S.D.,Right,NaN,NaN,NaN,0.124640725737992,0.440059911856624,0.0579606986386455,0.0579606986386455,89.6474580255446,78.336341348467,0.0352847107639712,2.89984862557819,0.0486294664710305,2.89984862557819,0.0646004690739259,4.63011359825468,0.0400835369292674,4.38286717617527
%CV,L+R,NaN,NaN,NaN,17.2846095106943,56.4440549288492,7.11535227426564,7.11535227426564,48.6336112898778,51.5006344901524,7.29237948142059,4.54681567715255,12.1171018863459,7.74654972420396,12.8655814747146,10.0560913413119,19.234692896342,19.2195229783644
%CV,Left,NaN,NaN,NaN,10.6120563860517,68.4748788738898,9.78050390107276,9.78050390107276,42.403819426826,52.231515642982,9.85890194217721,4.1373771653008,13.7924446584573,7.40399609012599,12.03954984396,8.15357553374598,24.3501667083305,21.3397040474591
%CV,Right,NaN,NaN,NaN,18.8582180017863,49.7085227856042,4.98194992226353,4.98194992226353,53.3859005848795,53.9619415775739,4.89114353787426,4.67220321638281,11.00179602801,7.6444533987405,14.6150314951223,12.2127706456686,14.3470027948632,18.1455784594768
