frame,head_x,head_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,H2_pixels,Z2_feet
0,896.76,350.43,884.48,523.03,-0.09,-0.04,172.61,39.94
1,897.57,350.32,884.48,523.07,-0.09,-0.04,172.75,39.91
2,898.32,350.3,884.45,523.05,-0.08,-0.03,172.75,39.91
3,898.98,350.32,884.38,523.13,-0.08,-0.03,172.81,39.9
4,899.71,350.47,884.31,523.18,-0.08,-0.03,172.7,39.92
5,900.26,350.65,884.24,523.18,-0.08,-0.03,172.54,39.96
6,900.77,350.9,884.2,523.12,-0.08,-0.03,172.22,40.03
7,901.22,351.17,884.21,523.16,-0.08,-0.03,171.99,40.09
8,901.47,351.43,884.26,523.24,-0.08,-0.03,171.81,40.13
9,901.62,351.6,884.35,523.36,-0.08,-0.03,171.76,40.14
10,901.63,351.63,884.49,523.53,-0.08,-0.03,171.89,40.11
11,901.53,351.54,884.64,523.74,-0.08,-0.03,172.2,40.04
12,901.33,351.34,884.81,523.99,-0.08,-0.03,172.65,39.93
13,901.0,351.11,884.97,524.23,-0.08,-0.03,173.12,39.83
14,900.64,350.83,885.11,524.42,-0.08,-0.03,173.59,39.72
15,900.19,350.49,885.21,524.62,-0.08,-0.03,174.13,39.6
16,899.65,350.11,885.27,524.72,-0.08,-0.03,174.61,39.49
17,899.12,349.8,885.33,524.83,-0.08,-0.03,175.03,39.39
18,898.5,349.52,885.35,524.92,-0.08,-0.03,175.41,39.31
19,897.89,349.29,885.34,524.89,-0.08,-0.03,175.6,39.26
20,897.25,349.12,885.33,524.94,-0.08,-0.03,175.82,39.21
21,896.61,349.03,885.3,525.0,-0.09,-0.03,175.97,39.18
22,895.94,348.96,885.25,525.12,-0.09,-0.03,176.16,39.14
23,895.26,348.93,885.22,525.26,-0.09,-0.03,176.33,39.1
24,894.62,348.91,885.19,525.35,-0.09,-0.03,176.44,39.08
25,894.01,348.91,885.14,525.48,-0.09,-0.04,176.57,39.05
26,893.47,348.89,885.07,525.55,-0.09,-0.04,176.67,39.03
27,892.93,348.86,885.0,525.63,-0.09,-0.04,176.77,39.0
28,892.38,348.82,884.92,525.7,-0.09,-0.04,176.89,38.98
29,891.83,348.8,884.86,525.83,-0.09,-0.04,177.04,38.94
30,891.25,348.77,884.77,525.91,-0.09,-0.04,177.15,38.92
31,890.73,348.77,884.7,525.99,-0.09,-0.04,177.21,38.91
32,890.22,348.8,884.62,526.1,-0.09,-0.04,177.3,38.89
33,889.74,348.85,884.56,526.25,-0.09,-0.04,177.4,38.87
34,889.28,348.91,884.52,526.39,-0.09,-0.04,177.48,38.85
35,888.91,349.02,884.51,526.5,-0.09,-0.04,177.48,38.85
36,888.56,349.15,884.51,526.63,-0.09,-0.04,177.49,38.85
37,888.25,349.31,884.53,526.75,-0.09,-0.03,177.44,38.86
38,888.01,349.55,884.56,526.93,-0.09,-0.03,177.38,38.87
39,887.79,349.87,884.58,527.1,-0.09,-0.03,177.23,38.9
40,887.64,350.24,884.62,527.22,-0.09,-0.03,176.98,38.96
41,887.57,350.76,884.63,527.36,-0.09,-0.02,176.59,39.04
42,887.61,351.36,884.66,527.49,-0.09,-0.02,176.12,39.15
43,887.73,352.15,884.66,527.58,-0.09,-0.02,175.43,39.3
44,887.94,352.99,884.67,527.65,-0.09,-0.01,174.66,39.47
