image_id,height_pixels,Z2
0.jpg,328.3146362304688,21
1.jpg,333.1871337890625,20.69
2.jpg,330.5489501953125,20.86
3.jpg,332.9108887,20.71
4.jpg,337.4669189453125,20.43
5.jpg,337.6519775390625,20.42
6.jpg,333.9953613,20.64
7.jpg,331.7853393554688,20.78
8.jpg,330.3724975585938,20.87
9.jpg,334.6420288085938,20.6
10.jpg,335.4635009765625,20.55
11.jpg,333.5345458984375,20.67
12.jpg,334.8862305,20.59
13.jpg,336.3252563476562,20.5
14.jpg,334.8969116210938,20.59
15.jpg,336.6954956054688,20.48
16.jpg,336.1759643554688,20.51
17.jpg,340.8832397460938,20.23
18.jpg,342.0710449,20.16
19.jpg,337.7258911132812,20.41
20.jpg,340.5970458984375,20.24
21.jpg,340.0175781,20.28
22.jpg,344.3034057617188,20.02
23.jpg,346.4436035,19.9
24.jpg,347.8444213867188,19.82
25.jpg,350.7265014648438,19.66
26.jpg,347.4185180664062,19.85
27.jpg,347.4733887,19.84
28.jpg,348.8406372070312,19.76
29.jpg,349.8852539,19.71
30.jpg,351.9172973632812,19.59
31.jpg,350.3309936523438,19.68
32.jpg,350.9329833984375,19.65
33.jpg,353.3350830078125,19.51
34.jpg,353.0651855,19.53
35.jpg,353.0820313,19.53
36.jpg,351.2633666992188,19.63
37.jpg,351.6602172851562,19.61
38.jpg,352.9976806640625,19.53
39.jpg,354.3294677734375,19.46
40.jpg,356.8091430664062,19.32
41.jpg,353.5708008,19.5
42.jpg,356.1860352,19.36
43.jpg,354.6450195,19.44
44.jpg,355.3466797,19.4
45.jpg,356.2191772460938,19.35
46.jpg,358.8095703,19.22
47.jpg,359.574707,19.17
48.jpg,362.3231201171875,19.03
49.jpg,363.5112305,18.97
50.jpg,370.1528930664062,18.63
51.jpg,372.2234497070312,18.52
52.jpg,379.595459,18.16
53.jpg,375.9838867,18.34
54.jpg,375.2354736328125,18.37
55.jpg,379.5431518554688,18.17
56.jpg,375.8786010742188,18.34
57.jpg,381.6757202148438,18.06
58.jpg,380.2042236328125,18.13
59.jpg,379.5118408203125,18.17
60.jpg,379.8948974609375,18.15
61.jpg,384.8070678710938,17.92
62.jpg,383.1054688,18
63.jpg,394.1206055,17.49
64.jpg,396.1782836914062,17.4
65.jpg,397.6296387,17.34
66.jpg,400.5548706054688,17.21
67.jpg,404.7362670898438,17.03
68.jpg,412.7971801757812,16.7
69.jpg,416.6467285,16.55
70.jpg,421.1401977539062,16.37
71.jpg,421.0007324,16.38
72.jpg,428.0496826171875,16.11
73.jpg,428.3398438,16.1
74.jpg,430.359375,16.02
75.jpg,433.5953979492188,15.9
76.jpg,433.8652344,15.89
77.jpg,432.2263184,15.95
78.jpg,431.8462524414062,15.97
79.jpg,433.4851074,15.91
80.jpg,432.0750122070312,15.96
81.jpg,446.6293945,15.44
82.jpg,449.8788452148438,15.33
83.jpg,455.0546875,15.15
84.jpg,460.9655762,14.96
85.jpg,460.4214477539062,14.97
86.jpg,467.6863403320312,14.74
87.jpg,470.2449951171875,14.66
88.jpg,476.7298583984375,14.46
89.jpg,484.5570678710938,14.23
90.jpg,482.545166,14.29
91.jpg,486.3980712890625,14.17
92.jpg,483.9504395,14.25
93.jpg,490.0582885742188,14.07
94.jpg,488.1836547851562,14.12
95.jpg,493.3980712890625,13.97
96.jpg,491.5867309570312,14.03
97.jpg,497.2096557617188,13.87
98.jpg,525.7965698242188,13.11
99.jpg,523.6194458007812,13.17
100.jpg,521.0375977,13.23
101.jpg,524.526123,13.14
102.jpg,514.7748413085938,13.39
103.jpg,536.6716309,12.85
104.jpg,555.2702026367188,12.42
105.jpg,558.0952148,12.35
106.jpg,556.8925170898438,12.38
107.jpg,561.0993652,12.29
108.jpg,573.4885254,12.02
109.jpg,571.2397461,12.07
110.jpg,573.4233398,12.02
111.jpg,572.6524658203125,12.04
112.jpg,581.4750977,11.86
113.jpg,584.6040039,11.79
114.jpg,584.4805908203125,11.8
115.jpg,596.5442504882812,11.56
116.jpg,604.1884155273438,11.41
117.jpg,615.5858764648438,11.2
118.jpg,615.3286133,11.2
119.jpg,615.5265502929688,11.2
120.jpg,625.7276611328125,11.02
121.jpg,645.1381836,10.69
122.jpg,653.9451293945312,10.54
123.jpg,654.1544799804688,10.54
124.jpg,656.5841674804688,10.5
125.jpg,666.4035645,10.35
126.jpg,673.7991333007812,10.23
127.jpg,664.8693848,10.37
128.jpg,681.0827026367188,10.12
129.jpg,682.4816284179688,10.1
130.jpg,681.4423828,10.12
131.jpg,683.9979858398438,10.08
132.jpg,712.4500732421875,9.68
133.jpg,719.0429688,9.59
134.jpg,733.1510009765625,9.4
135.jpg,747.6723633,9.22
136.jpg,755.1471557617188,9.13
137.jpg,761.7789916992188,9.05
138.jpg,777.1172485351562,8.87
139.jpg,793.7680053710938,8.69
140.jpg,799.0338134765625,8.63
141.jpg,806.1375732421875,8.55
142.jpg,813.8206787109375,8.47
143.jpg,818.5460815429688,8.42
144.jpg,827.1094970703125,8.34
145.jpg,821.4784545898438,8.39
146.jpg,834.4612426757812,8.26
147.jpg,817.7593994140625,8.43
148.jpg,844.5638427734375,8.16
149.jpg,836.2505493164062,8.24
150.jpg,866.8464965820312,7.95
151.jpg,895.7797241210938,7.7
152.jpg,902.4233398,7.64
153.jpg,913.0829467773438,7.55
154.jpg,930.7769165039062,7.41
155.jpg,944.3997192382812,7.3
156.jpg,949.2733154296875,7.26
157.jpg,958.3199462890625,7.19
158.jpg,960.3063965,7.18
159.jpg,954.0453491210938,7.23
160.jpg,960.2468262,7.18
161.jpg,966.5305176,7.13
162.jpg,961.9906616210938,7.17
163.jpg,975.3037719726562,7.07
164.jpg,958.7677001953125,7.19
165.jpg,953.7384643554688,7.23
166.jpg,970.7570801,7.1
167.jpg,991.1005249023438,6.96
168.jpg,994.8657836914062,6.93
169.jpg,1006.970825195312,6.85
170.jpg,1033.916625976562,6.67
171.jpg,1030.904052734375,6.69
172.jpg,1026.515197753906,6.72
173.jpg,1033.543334960938,6.67
174.jpg,1044.713989257812,6.6
175.jpg,1039.510864257812,6.63
176.jpg,1041.511108398438,6.62
177.jpg,1044.112426757812,6.6
178.jpg,1028.505065917969,6.7
179.jpg,1040.537598,6.63
180.jpg,1041.359741210938,6.62
181.jpg,1049.841918945312,6.57
182.jpg,1048.024841308594,6.58
183.jpg,1050.550476074219,6.56
184.jpg,1045.993896484375,6.59
185.jpg,1035.375183105469,6.66
186.jpg,1019.255615234375,6.76
187.jpg,1016.311279296875,6.78
188.jpg,1001.374755859375,6.89
189.jpg,1003.580871582031,6.87
190.jpg,984.2822266,7
191.jpg,999.2930297851562,6.9
192.jpg,974.2456055,7.08
193.jpg,966.8504028320312,7.13
194.jpg,961.2162475585938,7.17
195.jpg,926.3433227539062,7.44
196.jpg,870.0346069335938,7.92
197.jpg,861.2220458984375,8.01
198.jpg,864.0019531,7.98
